Rows,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
eve3746_tlm01,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00214,0.00214,0.00215,0.00218,0.00219,0.00222,0.00225,0.0023,0.00234,0.00249,0.0025,0.00259,0.00282,0.00282,0.00416,0.00743,0.02522,0.08318,0.14505,0.16055,0.26975,0.2494,0.27841,0.38736,0.31132,0.12158,0.16114,0.20137,0.22288,0.14183,0.08146,0.01127,0.00473,0.0041,0.00468,0.00215,0.00215,0.00215,0.00217,0.00219,0.00231,0.00368,0.02276,0.12538,0.23213,0.27547,0.28675,0.28359,0.27735,0.28145,0.32142,0.41841,0.52044,0.58396,0.58629,0.63152,0.62551,0.57198,0.46161,0.33387,0.29056,0.16678,0.13434,0.04678,0.03389,0.02634,0.02333,0.01344,0.00876,0.01704,0.03881,0.00383
eve3746_tlm02,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00132,0.00133,0.00134,0.00135,0.00136,0.00138,0.0014,0.00147,0.00147,0.00151,0.00161,0.00161,0.00219,0.00361,0.01135,0.03655,0.06346,0.0702,0.11772,0.10887,0.12199,0.1736,0.24537,0.26075,0.36383,0.45576,0.50482,0.31995,0.18226,0.02215,0.00722,0.00578,0.00711,0.00135,0.00135,0.00136,0.00138,0.00144,0.00171,0.00483,0.04836,0.28242,0.52593,0.62478,0.6505,0.64325,0.62723,0.61718,0.56828,0.45842,0.34796,0.28436,0.26436,0.27786,0.27288,0.24917,0.20113,0.14557,0.12674,0.07291,0.0588,0.02072,0.01512,0.01184,0.01053,0.00623,0.00419,0.00779,0.01726,0.00205
eve3746_tlm03,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00186,0.00188,0.0019,0.00191,0.00194,0.00196,0.00201,0.00205,0.00218,0.00219,0.00227,0.00249,0.00249,0.0037,0.00667,0.02284,0.07552,0.13177,0.14585,0.24511,0.22661,0.25288,0.35103,0.26005,0.06717,0.08523,0.10628,0.11755,0.07507,0.04344,0.00665,0.00322,0.00289,0.00319,0.00187,0.00187,0.00187,0.00188,0.00189,0.00195,0.00267,0.01267,0.06645,0.1224,0.14511,0.15102,0.14937,0.14648,0.15267,0.20282,0.32269,0.44771,0.52446,0.53097,0.57337,0.56839,0.51983,0.41952,0.3034,0.26404,0.15152,0.12203,0.04244,0.03073,0.02387,0.02113,0.01213,0.00788,0.01541,0.0352,0.0034
eve3746_tlm04,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00177,0.00178,0.00179,0.00181,0.00182,0.00184,0.00186,0.0019,0.00192,0.00203,0.00204,0.0021,0.00228,0.00228,0.00324,0.00562,0.01852,0.06057,0.10545,0.11669,0.19593,0.18117,0.20251,0.28405,0.29075,0.21088,0.29025,0.36337,0.4024,0.2553,0.14575,0.01836,0.00648,0.00533,0.00639,0.00181,0.0018,0.00181,0.00183,0.00188,0.00209,0.00457,0.03921,0.22545,0.4192,0.49785,0.51832,0.51256,0.50018,0.49617,0.48605,0.46669,0.44933,0.44158,0.43087,0.46004,0.45428,0.4152,0.3351,0.24243,0.21101,0.12121,0.09768,0.03416,0.02481,0.01934,0.01715,0.00997,0.00658,0.01258,0.02838,0.00301
eve3746_tlm07,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00317,0.00322,0.00323,0.00328,0.00331,0.00339,0.00344,0.00367,0.00368,0.00381,0.00416,0.00416,0.00611,0.0109,0.03695,0.12185,0.21248,0.23517,0.39512,0.36531,0.40783,0.56764,0.46204,0.18953,0.25222,0.31525,0.34893,0.22197,0.12741,0.01746,0.00721,0.00622,0.00713,0.00317,0.00317,0.00318,0.0032,0.00324,0.00342,0.00556,0.03546,0.1962,0.36343,0.43132,0.44898,0.44403,0.43416,0.43951,0.4944,0.62808,0.76898,0.85698,0.85925,0.92515,0.91622,0.83779,0.67614,0.48903,0.4256,0.2443,0.19678,0.06853,0.04966,0.03861,0.03419,0.0197,0.01285,0.02497,0.05686,0.00563
eve3746_tlm11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00101,0.00102,0.00103,0.00104,0.00105,0.00107,0.00109,0.00115,0.00115,0.00119,0.00129,0.00129,0.00185,0.00323,0.01069,0.03502,0.06099,0.06749,0.11334,0.1048,0.11711,0.16402,0.16119,0.10871,0.14914,0.18669,0.20673,0.13119,0.07494,0.00952,0.00342,0.00283,0.00337,0.00102,0.00102,0.00102,0.00103,0.00106,0.00117,0.00244,0.02023,0.11586,0.21536,0.25574,0.26625,0.2633,0.25699,0.25542,0.25381,0.25233,0.2522,0.25355,0.2487,0.26597,0.26279,0.2402,0.19386,0.14024,0.12207,0.07011,0.05649,0.01974,0.01433,0.01116,0.0099,0.00575,0.00378,0.00726,0.0164,0.00171
eve3746_tlm18,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.00091,0.00092,0.00092,0.00093,0.00095,0.00096,0.001,0.001,0.00102,0.00109,0.00109,0.00146,0.00236,0.00729,0.02332,0.04044,0.04473,0.07496,0.06934,0.07777,0.11133,0.17493,0.20147,0.28174,0.35297,0.39097,0.24775,0.14108,0.01704,0.00548,0.00436,0.00539,0.00093,0.00093,0.00093,0.00096,0.001,0.00121,0.00362,0.03735,0.21868,0.40732,0.4839,0.50383,0.49821,0.48574,0.47733,0.43487,0.33896,0.2422,0.18612,0.1698,0.17733,0.17376,0.1586,0.12803,0.09268,0.0807,0.04645,0.03748,0.01325,0.00969,0.0076,0.00676,0.00403,0.00273,0.00502,0.01105,0.00137
eve3746_tlm19,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00195,0.00198,0.00199,0.00202,0.00204,0.00209,0.00212,0.00226,0.00227,0.00235,0.00256,0.00256,0.00377,0.00673,0.02282,0.07527,0.13126,0.14528,0.2441,0.22568,0.25195,0.35061,0.28376,0.11389,0.15129,0.18908,0.20928,0.13315,0.07645,0.01052,0.00437,0.00378,0.00433,0.00195,0.00195,0.00196,0.00197,0.00199,0.0021,0.00339,0.02131,0.1177,0.21797,0.25868,0.26927,0.2663,0.26041,0.2639,0.29883,0.38377,0.4732,0.52898,0.5307,0.57152,0.56603,0.51759,0.41772,0.30212,0.26294,0.15092,0.12157,0.04233,0.03068,0.02384,0.02112,0.01217,0.00793,0.01542,0.03512,0.00347
eve3746_tlm20,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00234,0.00235,0.00238,0.00239,0.00243,0.00245,0.00251,0.00254,0.0027,0.00271,0.0028,0.00304,0.00304,0.00441,0.00777,0.026,0.08543,0.14888,0.16476,0.27675,0.25588,0.28582,0.39916,0.36144,0.20447,0.278,0.34784,0.38513,0.24458,0.1399,0.01818,0.00683,0.00574,0.00674,0.00237,0.00236,0.00237,0.00239,0.00243,0.00264,0.00501,0.0381,0.21605,0.40118,0.47633,0.49588,0.49039,0.47888,0.47855,0.49408,0.53516,0.58033,0.61044,0.60476,0.64877,0.6417,0.58665,0.47346,0.34247,0.29808,0.17115,0.13789,0.04811,0.0349,0.02716,0.02407,0.01392,0.00913,0.01761,0.03994,0.00408
